timestep,PositionX,PositionY,geo pos x,geo pos y,Speed,Lane ID,device one coord,device two coord,signalDistance,A1 to P,A2 to P,Delta 1,Delta two,Distance One Prime,Distance 2 Prime,Angle Predict One,Angle Predict Two,X Pos One Prime,Y Pos One Prime,geo Coord X1,geo Coord y1,X Pos 2 Prime,Y Pos 2 Prime,geo Coord X2,geo Coord Y2,AverageX,Average Y,Ave X Geo,Ave Y geo,,PositionX,PositionY,percent error ,
272.7,2290.752508,970.7135851,40.45990636,-79.92502911,0.3,:104530304_w2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,6.374800221,3.820784068,0.1989138,0.053411797,6.57371402,3.874195865,23.89191212,43.41068566,2290.60902,971.2255796,40.45991254,-79.92502961,2290.582112,970.5369631,40.45990634,-79.92503002,2290.595566,970.8812714,40.45990944,-79.92502981,,2290.752508,970.7135851,-6.85111E-05,0.000172745
272.8,2291.022412,970.8943165,40.45990791,-79.92502799,0.3,:104530304_w2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,6.518817965,3.879560298,0.166305008,0.037324194,6.685122973,3.916884493,24.66346327,45.41449009,2290.673869,971.3527623,40.45991367,-79.92502882,2290.646961,970.6641458,40.45990747,-79.92502924,2290.660415,971.0084541,40.45991057,-79.92502903,,2291.022412,970.8943165,-0.000158007,0.000117559
272.9,2291.037169,971.0798922,40.45990951,-79.92502478,0.3,:104530304_w2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,6.833720273,3.841283832,0.159387983,0.077432727,6.993108255,3.918716559,25.47594169,50.13779148,2290.91174,971.5711032,40.45991562,-79.92502599,2290.884832,970.8824867,40.45990942,-79.9250264,2290.898286,971.226795,40.45991252,-79.92502619,,2291.037169,971.0798922,-6.06201E-05,0.000151278
273,2291.318534,971.2702312,40.45991118,-79.92502458,0.3,:104530304_w2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,6.912973004,3.980056442,0.168164232,0.084011616,7.081137236,4.064068058,26.85248552,51.90815294,2290.916195,971.7616574,40.45991733,-79.92502591,2290.889287,971.0730409,40.45991113,-79.92502632,2290.902741,971.4173491,40.45991423,-79.92502611,,2291.318534,971.2702312,-0.000181465,0.00015147
273.1,2291.431295,971.4667325,40.45991286,-79.92502123,0.3,:104530304_w2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,7.24471064,3.981053579,0.164852591,0.080754358,7.409563231,4.061807937,27.23223702,56.5900511,2291.18688,971.9537465,40.45991903,-79.92502269,2291.159972,971.26513,40.45991283,-79.9250231,2291.173426,971.6094382,40.45991593,-79.92502289,,2291.431295,971.4667325,-0.000112536,0.000146897
273.2,2291.730325,971.6705482,40.45991462,-79.92501987,0.3,:104530304_w2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,7.424052477,4.094631157,0.120860788,0.052001065,7.544913265,4.146632222,27.97169563,58.58593661,2291.262112,972.1019739,40.45992036,-79.92502178,2291.235204,971.4133574,40.45991416,-79.92502219,2291.248658,971.7576657,40.45991726,-79.92502199,,2291.730325,971.6705482,-0.000210176,8.96574E-05
273.3,2291.816492,971.8817088,40.45991642,-79.92501632,0.3,:104530304_w2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,7.779297282,4.145593571,0.114137909,0.016061904,7.893435192,4.161655475,28.12641518,63.39845213,2291.559896,972.2842546,40.45992197,-79.92501824,2291.532988,971.5956381,40.45991577,-79.92501866,2291.546442,971.9399464,40.45991887,-79.92501845,,2291.816492,971.8817088,-0.000117832,5.99225E-05
273.4,2292.090527,972.0990933,40.45991831,-79.92501527,0.3,:104530304_w2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,7.944233108,4.307430896,0.155820324,0.009447042,8.100053432,4.316877938,29.15290857,66.07229406,2291.672561,972.5090196,40.45992398,-79.92501688,2291.645653,971.8204031,40.45991778,-79.9250173,2291.659107,972.1647114,40.45992088,-79.92501709,,2292.090527,972.0990933,-0.000188221,6.75015E-05
273.5,2292.101854,972.3207226,40.45992024,-79.92501201,0.3,:104530304_w2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,8.284437966,4.421826586,0.125446037,0.166491641,8.409884002,4.588318227,30.75905708,69.61827637,2291.825428,972.8642011,40.45992716,-79.92501503,2291.79852,972.1755846,40.45992096,-79.92501544,2291.811974,972.5198928,40.45992406,-79.92501523,,2292.101854,972.3207226,-0.000126469,0.00020484
273.6,2292.364066,972.5459357,40.45992224,-79.92501184,0.3,:104530304_w2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,8.391556392,4.630851843,0.15638152,0.10618313,8.547937911,4.737034973,31.59505958,70.97833933,2291.879495,973.0415143,40.45992875,-79.92501436,2291.852587,972.3528978,40.45992255,-79.92501478,2291.866041,972.6972061,40.45992565,-79.92501457,,2292.364066,972.5459357,-0.000217254,0.000155541
